id	filename	md5	size	state
40ce0079-0a48-4342-9d8b-4b6e960cd8ef	TCGA-25-1320-01Z-00-DX1.30C154CE-C75B-4815-BF05-7D011B761993.svs	cc002ac800519b0d591ca20530416dca	4056272902	validated
42fd94c9-648f-4598-b07f-ec7e192ab2cc	TCGA-42-2593-01Z-00-DX1.9d506f1d-a5b3-4643-bd12-91c33fae4286.svs	a77f2f39d657b24a681792f8edbeacda	109931477	validated
461f9354-7464-4c37-91b0-2d7e7a7ebb01	TCGA-25-1871-01Z-00-DX1.1BF3077E-910F-4992-AD46-B6869A136E98.svs	6a211fa809db3f26c26d7659f84a3ff7	3383269768	validated
48bf1488-5c74-4eb0-8983-505c3954357a	TCGA-25-2400-01Z-00-DX1.AAD20514-6FF7-47A5-89DB-8AA15DCC101B.svs	bb059e462517e418509a57039be0dc07	2987536558	validated
513a608c-d4d1-4180-ae2f-431577b62219	TCGA-23-1117-01Z-00-DX1.783914B6-B079-4828-B77B-4C6306FAE4C1.svs	15e6f189efcec0b61123b3ad2b47490f	2214439179	validated
516cf588-7ee0-4562-b48a-88b49a9386ea	TCGA-23-2072-01Z-00-DX1.478243FF-BFF0-48A4-ADEA-DE789331A50E.svs	f7ad5c8f2974e617674c30f537a863b6	1953258999	validated
52bf40fb-132f-47ff-b2d7-f292ac31306c	TCGA-25-1630-01Z-00-DX1.75C53351-1511-4CCE-97AC-1650010AC568.svs	d729d0017eeb66a9a4231b68f1d01757	2630508006	validated
57f584fc-7f81-4e0b-9f2c-57890bdd518e	TCGA-VG-A8LO-01A-02-DX2.9B58474C-DAC0-4D45-B13C-0A1EA9E1BC32.svs	3efd05550f90ce2d60ee66ab68f63a5b	225422354	validated
5817a2a4-5554-4d28-9da6-2441737b48e8	TCGA-25-1313-01Z-00-DX1.5A2732D5-01D6-4285-9283-1839E1703C27.svs	da8e4b680d6d6664987a1b567292cbba	3630426186	validated
583d3859-abf9-41f9-9cc7-9898c294de34	TCGA-23-2077-01Z-00-DX1.9EB664FA-CC13-4A49-89BA-8A4573CE48F1.svs	c00264d1e503ac3d608fcfb8a6c83c84	1531744381	validated
59312ab5-5556-4b63-aad0-fa9bfed1de04	TCGA-25-1632-01Z-00-DX1.B911E6FF-D6A9-4AC7-873C-58B2059DE7E6.svs	6ec8b4c81cbc8984aef8cb746b1ff25d	2805842892	validated
59446ef0-4b39-4eb9-a5c7-64ce5ab1e831	TCGA-25-2042-01Z-00-DX1.79198B62-0E0B-46C4-8D35-FE20582B8035.svs	1eec6fbca1494e99f94ec89d7530a407	3144896714	validated
5a57c60f-a1ce-4fde-95f0-9e1949a854e1	TCGA-57-1582-01Z-00-DX1.BDF02DAA-E520-46BD-A479-58CAA4354B1A.svs	1e840f32525bba922a241cc27f9bc6c8	90025528	validated
64edce7c-0054-4d1a-a65c-3db740c0224b	TCGA-25-1870-01Z-00-DX1.780BB62D-71C1-4B21-A2F4-61AC4B0234EE.svs	d7ad66655f7094a6b099a061bbc2ae03	2120321276	validated
6505da24-5fe4-4c38-8287-864d8e5c3c92	TCGA-OY-A56P-01Z-00-DX1.59CA76B0-5613-48CB-ACE7-6F808B8A9423.svs	bd07938d5a23b07bd66ab379ac5ca924	1003142300	validated
6508090d-3b90-4ce0-b6b2-a8d93f87df57	TCGA-42-2587-01Z-00-DX1.7a887a16-a8bc-403b-ab71-a8b43e5613fc.svs	881341c9fd9ad8716820e93ecd9e8623	138457713	validated
65f8bbfb-f2f0-4ceb-bef4-0834c342b1f5	TCGA-23-1121-01Z-00-DX1.E2F25441-32C3-46BF-A845-CB4FA787E8CB.svs	2ff42a9c8f457a3305bcac9b5c78dbbc	2008119069	validated
662da57c-bee7-4b4b-ae62-7111d25d5db1	TCGA-25-2409-01Z-00-DX1.34FFD6A9-4919-4DF5-8415-215CC833F12D.svs	9ec46c6937b09ea04602fa6b3197ab93	3432072424	validated
69b12b40-472b-49ac-a9c3-7ce77aee63ef	TCGA-23-2643-01Z-00-DX1.E60DF03D-326E-4182-84DA-77263C4C52B3.svs	f79fd2a3a39d64bf0c8622b6840024b9	875878857	validated
7266cb47-db35-4199-8fa2-4b0cf10c33a9	TCGA-23-1109-01Z-00-DX1.FB0886B9-8108-4A74-8A29-FEA4381AD69C.svs	ac4d61be92757f920ffc392443b88dfe	2129352197	validated
732d7fcc-b95b-4732-88f1-dc512563607e	TCGA-23-1120-01Z-00-DX1.59367B12-17F1-41AA-A6FB-8D940365176A.svs	a2852c5485c193a6da6aeb196802c88c	1682446983	validated
738e6465-b6dc-4649-b120-7271e718c818	TCGA-23-1123-01Z-00-DX1.764A8E5C-F2E7-441D-B9FB-23ECF7183740.svs	8ce280278933c73a9c67c68cf44d61ba	2092687325	validated
77f2b1ab-1621-458a-a288-456432c3cbe9	TCGA-23-1029-01Z-00-DX1.0044B39A-51B3-4F76-90A9-00CDF851DE2A.svs	8ca431c3f1b0f1d0eb6ce278c8bd7582	1498211461	validated
7854cf6e-7006-4ef3-90f7-40624534ec92	TCGA-23-1030-01Z-00-DX1.FC93147F-FB55-4C62-B187-337A5C107096.svs	f737ce4e96ad3382fba992f6efb43ea4	1666318223	validated
7969629a-c2cc-41e6-9061-96b4065cb87b	TCGA-25-1322-01Z-00-DX1.20DA1932-908F-44E5-B2F2-43E41E06165B.svs	79b496e0ef31ec569b0f845792eae3c0	3846321624	validated
81048b6c-50c5-4b24-bb58-135e2c733066	TCGA-25-1878-01Z-00-DX1.618F8128-41C4-411B-9B26-B490E066B30D.svs	6d7c2e20b06e07b09c3969a5b45f266f	2919939438	validated
82c59b5b-6bc3-4b80-8ec8-9f099317a903	TCGA-23-1028-01Z-00-DX1.117B4B7B-F796-4D33-A645-CD80E5C43E6D.svs	acdf22cfc7da4e0de133fa86ab7f1a3d	894793941	validated
